graph_id,nodes,edges,p,q,num_walks,walk_length,train_time,inference_time,total_runtime,memory_mb,sample_size,precision,recall,f1_score,roc_auc,map,true_positives
1,348,2866,0.2,1.5,10,40,5.142387866973877,0.46124863624572754,5.6036365032196045,13.806547164916992,50,0.1371308016877637,0.1132404181184669,0.12404580152671754,0.8250000000000001,0.299181555764068,65
1,348,2866,0.2,1.5,10,80,8.821447849273682,0.4570021629333496,9.278450012207031,22.29220199584961,50,0.1371308016877637,0.1132404181184669,0.12404580152671754,0.8274000000000001,0.3224730351910879,65
1,348,2866,0.2,1.5,10,120,12.083019256591797,0.4925577640533447,12.575577020645142,29.934447288513184,50,0.14915966386554622,0.12369337979094076,0.1352380952380952,0.8165,0.34192096451375165,71
1,348,2866,0.2,1.5,20,40,8.68772268295288,0.46083736419677734,9.148560047149658,22.12333106994629,50,0.16,0.13240418118466898,0.14489990467111535,0.8229000000000001,0.30874890628599927,76
1,348,2866,0.2,1.5,20,80,15.67705750465393,0.4687540531158447,16.145811557769775,39.08118724822998,50,0.14345991561181434,0.11846689895470383,0.1297709923664122,0.8446000000000001,0.3451912478099331,68
1,348,2866,0.2,1.5,20,120,22.86327314376831,0.45555877685546875,23.31883192062378,54.377113342285156,50,0.1522198731501057,0.1254355400696864,0.13753581661891118,0.8448,0.3424057892517276,72
1,348,2866,0.2,1.5,40,40,15.652904748916626,0.4656672477722168,16.118571996688843,38.713011741638184,50,0.12343096234309624,0.10278745644599303,0.11216730038022815,0.8002999999999999,0.3565439509136988,59
1,348,2866,0.2,1.5,40,80,29.766517400741577,0.4563140869140625,30.22283148765564,72.66431140899658,50,0.13473684210526315,0.11149825783972125,0.12202097235462345,0.8071,0.3414029829103359,64
1,348,2866,0.2,1.5,40,120,44.02539420127869,0.4570131301879883,44.482407331466675,103.26918888092041,50,0.14492753623188406,0.12195121951219512,0.13245033112582785,0.8202,0.3061256607019912,70
1,348,2866,0.2,2.0,5,40,3.4909307956695557,0.4580078125,3.9489386081695557,9.530929565429688,50,0.1228813559322034,0.10104529616724739,0.11089866156787764,0.8239000000000001,0.2485261189115144,58
1,348,2866,0.2,2.0,5,80,5.2464375495910645,0.46070122718811035,5.707138776779175,13.879020690917969,50,0.1461864406779661,0.12020905923344948,0.13193116634799235,0.8213000000000001,0.3395765494750088,69
1,348,2866,0.2,2.0,5,120,6.983606815338135,0.45635008811950684,7.439956903457642,17.707533836364746,50,0.1279317697228145,0.10452961672473868,0.11505273250239693,0.8436,0.31151419027206834,60
1,348,2866,0.2,2.0,10,40,5.183210372924805,0.45549917221069336,5.638709545135498,13.800045013427734,50,0.13771186440677965,0.1132404181184669,0.124282982791587,0.8218,0.25399280621339443,65
1,348,2866,0.2,2.0,10,80,8.848146438598633,0.46409082412719727,9.31223726272583,22.28824234008789,50,0.1416490486257928,0.11672473867595819,0.12798471824259788,0.8229000000000001,0.3244710510466814,67
1,348,2866,0.2,2.0,10,120,12.119665145874023,0.4583566188812256,12.578021764755249,29.930923461914062,50,0.14644351464435146,0.12195121951219512,0.13307984790874525,0.8462,0.30341047986480346,70
1,348,2866,0.2,2.0,20,40,8.638410329818726,0.5076766014099121,9.146086931228638,22.120972633361816,50,0.1440677966101695,0.11846689895470383,0.13001912045889102,0.8383999999999999,0.3033880928353384,68
1,348,2866,0.2,2.0,20,80,15.707492113113403,0.45882129669189453,16.166313409805298,39.07452392578125,50,0.1271186440677966,0.10452961672473868,0.1147227533460803,0.8099000000000001,0.3337036085768338,60
1,348,2866,0.2,2.0,20,120,22.83443832397461,0.4750521183013916,23.309490442276,54.370628356933594,50,0.15644820295983086,0.1289198606271777,0.14135625596943646,0.8363,0.35556987180103666,74
1,348,2866,0.2,2.0,40,40,15.845788717269897,0.47791290283203125,16.32370162010193,38.70660209655762,50,0.13588110403397027,0.11149825783972125,0.12248803827751197,0.8204,0.31422644292826846,64
1,348,2866,0.2,2.0,40,80,29.667094707489014,0.4991605281829834,30.166255235671997,72.65659523010254,50,0.14225941422594143,0.11846689895470383,0.12927756653992395,0.8009000000000001,0.33935251739149164,68
1,348,2866,0.2,2.0,40,120,44.10612368583679,0.45510411262512207,44.561227798461914,103.25900268554688,50,0.14285714285714285,0.11672473867595819,0.12847555129434324,0.8180000000000001,0.3036676836840236,67
1,348,2866,0.5,0.2,5,40,3.4856197834014893,0.45877528190612793,3.944395065307617,9.59442138671875,50,0.13900414937759337,0.11672473867595819,0.1268939393939394,0.8812999999999999,0.3169909032364983,67
1,348,2866,0.5,0.2,5,80,5.317728281021118,0.4838132858276367,5.801541566848755,13.898823738098145,50,0.14675052410901468,0.12195121951219512,0.13320647002854424,0.8541,0.3477542461429017,70
1,348,2866,0.5,0.2,5,120,7.059002637863159,0.4566841125488281,7.515686750411987,17.73313808441162,50,0.14699792960662525,0.12369337979094076,0.13434247871333962,0.8421000000000001,0.3311622060440338,71
1,348,2866,0.5,0.2,10,40,5.2250282764434814,0.476398229598999,5.7014265060424805,13.818971633911133,50,0.1368421052631579,0.1132404181184669,0.12392755004766445,0.8419000000000001,0.3036099184342648,65
1,348,2866,0.5,0.2,10,80,8.90090823173523,0.4617185592651367,9.362626791000366,22.312698364257812,50,0.14556962025316456,0.12020905923344948,0.1316793893129771,0.8700999999999999,0.3073848771219537,69
1,348,2866,0.5,0.2,10,120,12.407739400863647,0.46005749702453613,12.867796897888184,29.96470069885254,50,0.14046121593291405,0.11672473867595819,0.12749762131303521,0.8531,0.3408538477680635,67
1,348,2866,0.5,0.2,20,40,8.661827564239502,0.4658541679382324,9.127681732177734,22.14270782470703,50,0.14791666666666667,0.12369337979094076,0.13472485768500947,0.8481,0.32379370128829005,71
1,348,2866,0.5,0.2,20,80,15.875474452972412,0.4657254219055176,16.34119987487793,39.114789962768555,50,0.1407563025210084,0.11672473867595819,0.12761904761904763,0.8668,0.3089930449208031,67
1,348,2866,0.5,0.2,20,120,23.171472787857056,0.46152210235595703,23.632994890213013,54.421958923339844,50,0.16176470588235295,0.13414634146341464,0.1466666666666667,0.8665999999999999,0.3102473479922272,77
1,348,2866,0.5,0.2,40,40,15.674822330474854,0.46160292625427246,16.136425256729126,38.7407922744751,50,0.15546218487394958,0.1289198606271777,0.14095238095238094,0.859,0.3386216568738933,74
1,348,2866,0.5,0.2,40,80,29.624094486236572,0.44405078887939453,30.068145275115967,72.71826648712158,50,0.1506276150627615,0.1254355400696864,0.13688212927756652,0.8526999999999999,0.33235693005868316,72
